Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
22.10.2021,17:00,BGL904,01,FRUTTİ EXTRA BURSASPOR,74 - 72,ALİAĞA PETKİM SPOR,A,BURSA,Barış Spor Salonu ve Gençlik Merkezi,,ORHAN ÇAĞRI HEKİMOĞLU,GÜNEY BİRLİK,HASAN OK,UMUT GEDİK,ESRA AL,SEVDA USTA,ESRA SOLAK,TEOMAN ÖYLEK,Barış Spor Salonu ve Gençlik Merkezi
22.10.2021,19:00,BGL903,01,BEŞİKTAŞ JK,84 - 71,BAHÇEŞEHİR KOLEJİ,B,İSTANBUL,Akatlar Spor ve Kültür Kompleksi,,MEHMET KESERATAR,ATAKAN KOLCU,ASLI KOÇAK,MELİH SABRİ KAZMAZ,PINAR ŞAHİN,HİLMİ CANKUT AYNAR,NEŞE KIRAN,ALPKAN HACIYAKUPOĞLU,Akatlar Spor ve Kültür Kompleksi
23.10.2021,14:30,BGL905,01,BÜYÜKÇEKMECE BASKETBOL,63 - 94,ANADOLU EFES,A,İSTANBUL,Gazanfer Bilge Spor Salonu,,ALİ KÖSEOĞLU,TARIK ARAZ,BERK YÜCEL,TUĞBA YURTSEVEN,SERDAR ERHAN,SEMRA AKDUMAN,MURAT ÖZKAN,MELDA ÇAKIRCA,Gazanfer Bilge Spor Salonu
23.10.2021,17:00,BGL906,01,GAZİANTEP BASKETBOL,72 - 70,TEŞVİKİYE,B,GAZİANTEP,Karataş Şahinbey Spor Salonu,,MUSA KAZIM ÇETİN,MUSTAFA AKSOY,ALİ CAN YILMAZ,NAMIK KEMAL ERGÜVEN,UĞUR ŞAHAN,RECEP ÖZTÜRK,ALİ DALYANOĞLU,ABDURRAHMAN YALTIRIK,Karataş Şahinbey Spor Salonu
24.10.2021,13:00,BGL908,01,GELİŞİM KOLEJİ,90 - 74,TARSUS AMERİKAN KOLEJİ,A,İZMİR,Gelişim Koleji Spor Salonu,,POLAT PARLAK,SELENA GAMZE ÖGET ÇERÇİ,OKAN MUHAMMET ANLATICI,BÜLENT GÖKÇE,EBRU DIVRAK,DİLEK DOĞAN KARACA,HALİL TEPEBAĞ,HAKAN DÖNMEZ,Gelişim Koleji Spor Salonu
24.10.2021,14:00,BGL911,01,PUSULAM KOLEJİ MERKEZEFENDİ BELEDİYESİ BASKET,96 - 61,AFYON BELEDİYESİ,B,DENİZLİ,Pamukkale Üniversitesi Spor Salonu,,ERŞAN KARTAL,SADETTİN BAYCAN,OSMAN YETİŞKİN,METE BULUT,TUĞBA KALEM,MELEK ERYÜRÜK,MELTEM ARABACI,ABDÜLKADİR ERYÜRÜK,Pamukkale Üniversitesi Spor Salonu
24.10.2021,16:00,BGL909,01,TÜRK TELEKOM SPOR,74 - 81,GALATASARAY  NEF,A,ANKARA,Ankara Spor Salonu (Küçük),,ALİ ŞAKACI,ENES DURAN,MEHMET BARUT,FİLİZ ÖGET,SAMET CAN ALICI,NİHAN ÜNSAL,TUNCER ULUŞEKER,MEHMET AKİF CUMHURLU,Ankara Spor Salonu (Küçük)
24.10.2021,17:30,BGL907,01,FMV IŞIK OKULLARI YALOVASPOR,62 - 88,FENERBAHÇE BEKO,A,YALOVA,90. Yıl Spor Salonu,,DUHAN KÖYİÇİ,RIDVAN CÖMERT,GÖKHAN EĞLENOĞLU,UĞUR AYDEMİR,ELMAS DEMİREL AYDEMİR,GÜLEN SÖNMEZ,HANİFE CELEPOĞLU,NAZMİYE BIYIKOĞLU,90. Yıl Spor Salonu
25.10.2021,14:30,BGL912,01,TOFAŞ,103 - 62,TED ANKARA KOLEJLİLER,B,BURSA,Tofaş Spor Salonu,,MURAT CİNER,MUHAMMED TURP,MEHMET BOZKURT,HAKAN BEŞTEPE,ESRA AL,ŞAFAK IRMAK SARAÇOĞLU,SİNEM ERTEM,TEOMAN ÖYLEK,Tofaş Spor Salonu
18.11.2021,14:00,BGL910,01,DARÜŞŞAFAKA,80 - 73,PINAR KARŞIYAKA,B,İSTANBUL,Darüşşafaka Ayhan Şahenk Spor Salonu,,EMİN MOĞULKOÇ,MUSTAFA ÇELTİKER,ASLI KOÇAK,SAVAŞ BAYRAM ERTÜRK,REMZİ KILIÇ,HİLMİ CANKUT AYNAR,ECE DİKMENLİ,YÜKSEL NAZLIGÜL,Darüşşafaka Ayhan Şahenk Spor Salonu
