Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
25.09.2021,13:00,1EA3576,01,TÜRK TELEKOM SPOR,72 - 74,TOFAŞ,,ANKARA,Ankara Spor Salonu,TİVİBU Spor 2,ZAFER YILMAZ,HÜSEYİN ÇELİK,TOLGA EDİS,ERDEM EFE,FATMA ÇELİK,İSMAİL FULSER,ALİ MURAT SUNGUR,RESUL GEÇER,Ankara Spor Salonu
25.09.2021,15:30,1EA3569,01,GAZİANTEP BASKETBOL,85 - 86,HDI SİGORTA AFYON BELEDİYESİ,,GAZİANTEP,Karataş Şahinbey Spor Salonu,TİVİBU Spor 2,MEHMET SERDAR ÜNAL,SERHAT BÜKER,MURAT CİNER,NAMIK KEMAL ERGÜVEN,RECEP ÖZTÜRK,EKMEL CENGİZ,ALİ DALYANOĞLU,MUSTAFA BODUR,Karataş Şahinbey Spor Salonu
25.09.2021,18:00,1EA3570,01,FRUTTİ EXTRA BURSASPOR,86 - 85,SEMT77 YALOVASPOR,,BURSA,Tofaş Spor Salonu,TİVİBU Spor 2,ALPER ALTUĞ KÖSELERLİ,ZİYA ÖZORHON,UMUT ÖZGÜN ERGÜN,MUSTAFA DURGUT,AYÇA ÜNLÜ,SEVDA USTA,ESRA SOLAK,FATİH DURGUT,Tofaş Spor Salonu
25.09.2021,20:15,1EA3571,01,ANADOLU EFES,94 - 93,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,,İSTANBUL,Sinan Erdem Spor Salonu,TRT Spor Yıldız,OSMAN SİNAN İŞGÜDER,SEMİH VURAL,ORHAN ÇAĞRI HEKİMOĞLU,AHMET MÜNİR GÖKMEN,GÜLİZ KONCA ADİLLER,AHMET YILDIZ,ESİN MÜEZZİNOĞLU,DİNÇER ADİLLER,Sinan Erdem Spor Salonu
26.09.2021,13:00,1EA3575,01,BÜYÜKÇEKMECE BASKETBOL,87 - 95,GALATASARAY NEF,,İSTANBUL,Gazanfer Bilge Spor Salonu,TRT Spor Yıldız,MEHMET KARABİLECEN,ALPER ÖZGÖK,BURAK YILMAZ,SAVAŞ BAYRAM ERTÜRK,BİROL ŞİMŞEK,YUSUF YELESDAĞ,YÜCEL FIRAT,SEMRA AKDUMAN,Gazanfer Bilge Spor Salonu
26.09.2021,15:30,1EA3573,01,ALİAĞA PETKİM SPOR,59 - 92,PINAR KARŞIYAKA,,İZMİR,Enka Spor Salonu,TİVİBU Spor 2,YENER YILMAZ,KEREM BAKİ,YİĞİT GÖNÜLTAŞ,GÖRKEM BIÇAKCIOĞLU,GİZEM ÖZAYDIN,MESUT KARABULUT,GÖZDE ONAN,ONUR BURAK,Enka Spor Salonu
26.09.2021,18:00,1EA3572,01,BAHÇEŞEHİR KOLEJİ,86 - 77,BEŞİKTAŞ ICRYPEX,,İSTANBUL,Ülker Spor ve Etkinlik Salonu,TİVİBU Spor 2,MEHMET KESERATAR,KAAN BÜYÜKÇİL,BATUHAN SÖYLEMEZOĞLU,MEHMET ZAFER MİLLİ,SEDA İŞLER,SERHAT LEVENT,GÖZDE BEGÜM AKÜZÜM,PERİHAN GİZEM ÜNSAL,Ülker Spor ve Etkinlik Salonu
26.09.2021,20:15,1EA3574,01,DARÜŞŞAFAKA,65 - 75,FENERBAHÇE BEKO,,İSTANBUL,Volkswagen Arena,TİVİBU Spor 2,EMİN MOĞULKOÇ,ÖZLEM YALMAN,ERHAN GÜRSEL,HURŞİT CEM AKAN,LAL DENİZ ÇELİKER,ALPER LAÇİNKAYA,ŞAZİYE SİMSAR YAKIN,HİLMİ CANKUT AYNAR,Volkswagen Arena
2.10.2021,13:00,1EA3580,02,PINAR KARŞIYAKA,90 - 81,BAHÇEŞEHİR KOLEJİ,,İZMİR,Mustafa Kemal Atatürk Karşıyaka Spor Salonu,"TİVİBU Spor 2,TRT Spor Yıldız",MEHMET KARABİLECEN,CAN MAVİSU,SEHER AYŞE NUR YAZICIOĞLU,MUSTAFA FIRAT,ELİF KALENDER,ALİ DEVECİ,SİNEM BİRTÜRK,GÜLÇİN AKIN,Mustafa Kemal Atatürk Karşıyaka Spor Salonu
2.10.2021,15:30,1EA3579,02,BEŞİKTAŞ ICRYPEX,55 - 101,ANADOLU EFES,,İSTANBUL,Akatlar Spor ve Kültür Kompleksi,"TİVİBU Spor 2,TRT Spor Yıldız",AYTUĞ EKTİ,ERŞAN KARTAL,MUSA KAZIM ÇETİN,EMİN FAZIL KESERATAR,ŞERMİN NAZLIGÜL,ERMAN YÜCEL,ALPKAN HACIYAKUPOĞLU,YÜKSEL NAZLIGÜL,Akatlar Spor ve Kültür Kompleksi
2.10.2021,18:00,1EA3583,02,TOFAŞ,98 - 87,BÜYÜKÇEKMECE BASKETBOL,,BURSA,Tofaş Spor Salonu,TİVİBU Spor 2,MEHMET SERDAR ÜNAL,ALİ ŞAKACI,DUHAN KÖYİÇİ,MACİT ZEREN,BERNA EKBİÇ,EMEL ÖZTÜRK,NİDA ECE TÜZÜK,ABDULLAH KURT,Tofaş Spor Salonu
2.10.2021,20:15,1EA3582,02,GALATASARAY NEF,101 - 107,DARÜŞŞAFAKA,,İSTANBUL,Sinan Erdem Spor Salonu,TİVİBU Spor 2,ZAFER YILMAZ,AHMET TATLICI,SERHAT BÜKER,ERKAN URASLI,TUTKU MELİS AYGÜN,GÜL URASLI,OSMAN AŞIK,MERVE SAĞLAM,Sinan Erdem Spor Salonu
3.10.2021,13:00,1EA3577,02,SEMT77 YALOVASPOR,89 - 93,GAZİANTEP BASKETBOL,,YALOVA,90. Yıl Spor Salonu,TİVİBU Spor 2,MEHMET KESERATAR,KAAN BÜYÜKÇİL,ÖZGE ŞENTÜRK BAYRAKTAR,UĞUR AYDEMİR,ELMAS DEMİREL AYDEMİR,AYSEL GÜNER,NURAY SORUŞ,TAYFUN CAN DEMİR,90. Yıl Spor Salonu
3.10.2021,15:30,1EA3584,02,HDI SİGORTA AFYON BELEDİYESİ,61 - 80,TÜRK TELEKOM SPOR,,AFYONKARAHİSAR,Prof. Dr. Veysel Eroğlu Spor Salonu,TİVİBU Spor 2,EMİN MOĞULKOÇ,SİNEM TETİK AKBAYRAK,ALİ KÖSEOĞLU,TURAN CAN OCAKOĞLU,HATİCE OKÇU,HASAN ALİ TUTAR,FATMA BETÜL İŞSİZ,HASAN GÖRDES,Prof. Dr. Veysel Eroğlu Spor Salonu
3.10.2021,18:00,1EA3578,02,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,74 - 71,FRUTTİ EXTRA BURSASPOR,,DENİZLİ,Pamukkale Üniversitesi Spor Salonu,TİVİBU Spor 2,YENER YILMAZ,ÖZLEM YALMAN,POLAT PARLAK,MEHMET KANER,FATMA NUR DİKMEN ÇOBAN,MELEK ERYÜRÜK,MELTEM ARABACI,AHMET ERYÜRÜK,Pamukkale Üniversitesi Spor Salonu
