Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
8.03.2024,14:00,BEA5562,01,YELKİSPOR,87 - 79,BANDIRMA GELİŞİM,B,İZMİR,Serdar Yereli Spor Salonu,,BURAK MERT DEMİRTAŞ,SENAY COŞKUN,EMİRHAN SERTOĞLU,KAAN KARTAL,ERKAN TURAN,OKAN ÇETİNBAŞ,ALEYNA ÇETİN,GÖKHAN YAZ,Serdar Yereli Spor Salonu
8.03.2024,19:00,BEA5566,01,ESKİŞEHİR GELİŞİM SK,90 - 95,ÇELİKELLİLER,C,ESKİŞEHİR,Yenikent Şehit Anıl Gül Spor Salonu,,MELİK KAYA,İSMAİL BAYRAM,SEÇKİN ŞENTÜRK,HATİCE FAZLIOĞLU ERKAN,NAZMİYE AVŞAR,SEDA TUNÇELLİ,FİLİZ ÇOPUROĞLU,EVREN ÖĞÜTVEREN,Yenikent Şehit Anıl Gül Spor Salonu
9.03.2024,14:00,BEA5564,01,ÜNSPED,80 - 55,İTÜ,C,İSTANBUL,Ahmet Cömert Spor Salonu,,ONUR AÇIKYÜZ,ALPEREN BAŞER,EREN AKPULAT,ALPER DENİZ DEMİR,TUĞBA ÖZYANIK,GÜL URASLI,AYGÜN SEVGİL,CEYDA KAPKAÇ,Ahmet Cömert Spor Salonu
9.03.2024,15:30,BEA5567,01,UZMAN AKADEMİ İSTANBUL VARDAR,55 - 51,FALCON ATLETİK,D,İSTANBUL,Gazanfer Bilge Spor Salonu,,METİN SARIOĞLU,KAAN BERK BALCIOĞLU,HÜSEYİN MERT ŞEKER,SELİM ALAATTİN ALGÜL,ÖYKÜ GÜNGÖR,MERVE SAĞLAM,MELDA ÇAKIRCA,EMRECAN ÇAKIRCA,Gazanfer Bilge Spor Salonu
9.03.2024,17:30,BEA5561,01,YENİ KADIKÖY,60 - 98,GÖCEKSPOR,B,İSTANBUL,Caferağa Spor Salonu,,ALPER CAN BOZYEL,ARMAN ATLI,ENES BAŞARAN ÖZTÜRK,NAZLI HİLAL KAYA,MUSTAFA KEMAL PENPE,TİMUR TOPUZ,DEMET ULUCUTSOY,OSMAN OKUDAN,Caferağa Spor Salonu
9.03.2024,18:00,BEA5572,01,GÖKTEM MÜHENDİSLİK HASKETBOL SPOR,82 - 103,GAZİANTEP BELEDİYE,F,KAYSERİ,Kayseri Atatürk Spor Salonu,,FURKAN ÜNLÜ,ZEKİ BAYRAM,HASAN KORKMAZ,ABDULLAH ÖZSUVEREN,KÜBRA GÜLTEKİN,CELAL AKSOY,SİNEM MUTLU,İSMAİL DULDA,Kayseri Atatürk Spor Salonu
9.03.2024,19:00,BEA5558,01,İZMİT AKADEMİ,90 - 57,YUGOS BASKET,A,KOCAELİ,Kocaeli Atatürk Spor Salonu,,BARIŞ ÖZTÜRK,YUNUS EMRE YILDIZ,TAHİR EROĞLU,DAĞHAN ÇELEBİ,YILDIZ BUĞDACI,SEVGİ CANDAZ,ÖZGÜR COŞKUN,SUDENUR DUMAN,Kocaeli Atatürk Spor Salonu
10.03.2024,14:00,BEA5563,01,İZMİR BÜYÜKŞEHİR BELEDİYESPOR,87 - 73,AYDIN BÜYÜKŞEHİR AKADEMİ SPOR,B,İZMİR,Celal Atik Spor Salonu,,BUSE NUR KAHYAOĞULLARI,SEDAT ERKOL,BERK BÜKE,HATİCE DİLHUN SUKAN,HALİDE KAYA,ALİ DEVECİ,MUSTAFA MESCİ,EMİNE KALKAN,Celal Atik Spor Salonu
10.03.2024,14:00,BEA5569,01,İLİÇ,41 - 79,TRABZONSPOR,E,ERZİNCAN,Erzincan Merkez Spor Salonu,,SONER TÜRKER,BURAK ALKAN,AHMET ÇAKIR,YAŞAR ARIĞTEKİN,HÜMEYRA KARA,KUBİLAY ÖZER,YAREN HAZEL CENGİZ,İLYAS ÖZER,Erzincan Merkez Spor Salonu
10.03.2024,14:00,BEA5565,01,YALOVA ÜNİVERSİTESİ,78 - 85,TUSAŞSPOR,C,YALOVA,90. Yıl Spor Salonu,,OĞUZHAN GÜZEL,BETÜL UNTUÇ,EMRE ÖZÜTOK,ZİYNİŞ ORUÇ,NURAY SORUŞ,HANİFE CELEPOĞLU,SELÇUK KURT,TAYFUN CAN DEMİR,90. Yıl Spor Salonu
