Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
19.02.2022,15:00,BBA1560,Playoff Eleme Turu,ÇAĞDAŞ KOLEJLİLER,38 - 70,EMLAK KONUT GELİŞİM,,ESKİŞEHİR,Eskişehir Teknik (Anadolu) Üniversitesi Spor Salonu ,,CAN YANAR,SONER ÖZAYDOĞAN,ÜNAL GÜNDOĞDU,BURAK TALHA DOĞAN,FİLİZ ÇOPUROĞLU,FATİH TAYSI,ZEYNEP TAYSI,EVREN ÖĞÜTVEREN,Eskişehir Teknik (Anadolu) Üniversitesi Spor Salonu
19.02.2022,15:00,BBA1561,Playoff Eleme Turu,GİRESUN BELEDİYE,61 - 78,ELAZIĞ BASKETBOL,,GİRESUN,19 Eylül S.S.,,HİKMET FEN,FURKAN KESERATAR,MUSTAFA ÇELTİKER,SEMİH KAYA,GÜLSÜN OKSAL,AYNUR KONAR BAVUK,MİHRİBAN ÇİĞDEM,TANSEL TOPŞİR,19 Eylül S.S.
20.02.2022,14:00,BBA1559,Playoff Eleme Turu,ISKUDER,41 - 89,İZMİR BÜYÜKŞEHİR BELEDİYESİ,,ISPARTA,6 Mart Spor Salonu,,CANER BAHADIR,ONUR AÇIKYÜZ,ENES DURAN,MERT ELMA,SEHER YÜRÜK,BURAK TATOĞLU,ÖZKAN ALTINÖRS,ÇAĞATAY KASIM KÜÇÜKOĞLU,6 Mart Spor Salonu
20.02.2022,18:00,BBA1564,Playoff Eleme Turu,ÇERKEZKÖY BELEDİYESİ,68 - 51,KASTAMONU İSTİKLAL YOLU,,TEKİRDAĞ,Çerkezköy Belediyesi 29 Ekim Spor Kompleksi,,HAVVA MİRHAN ATEŞER,FIRAT ATAR,OSMAN YETİŞKİN,ENİS GÜREL,BİLGİNAR KARABIYIK,MÜJDE ÖNGEL,ÖZLEM DELİCE,ATA UĞUR ÖNGEL,Çerkezköy Belediyesi 29 Ekim Spor Kompleksi
20.02.2022,18:30,BBA1563,Playoff Eleme Turu,KALAMIŞ KALKEDON,65 - 78,BURHANİYE BELEDİYESPOR,,İSTANBUL,Caferağa Spor Salonu,,SEDEF YARICI,OZAN GÜNDÜZ,MUHAMMED TURP,GÜNAY YAYLI,DUYGU USTAOĞLU,ECE DİKMENLİ,VEDAT SAVAŞ,ARZU KÖRKEN,Caferağa Spor Salonu
21.02.2022,18:00,BBA1562,Playoff Eleme Turu,DİBA,71 - 44,YENİ SİNCAN,,ANKARA,Ankara Spor Salonu (Küçük),,MUSTAFA BAŞTÜRK,ALMİNA KOCABAŞ,AHMET MALİK ŞAN,VEYSEL PEKDOĞAN,HÜSEYİN ÖKMEN,İSMAİL FULSER,SİBEL FAZLIOĞLU,SİNA KÜÇÜKDİLEK,Ankara Spor Salonu (Küçük)
25.02.2022,16:00,BBA1566,Playoff Eleme Turu,EMLAK KONUT GELİŞİM,60 - 34,ÇAĞDAŞ KOLEJLİLER,,İSTANBUL,Şehit Mustafa Özel Spor Kompleksi,,ÖZKAN TALO,MUSTAFA SELÇUK,BARIŞ TURGUT,MELİH ERGENE,TUĞÇE KAYA,CEYDA KAPKAÇ,REMZİ KILIÇ,ESİN MÜEZZİNOĞLU,Şehit Mustafa Özel Spor Kompleksi
26.02.2022,14:00,BBA1565,Playoff Eleme Turu,İZMİR BÜYÜKŞEHİR BELEDİYESİ,92 - 25,ISKUDER,,İZMİR,Celal Atik Spor Salonu,,ESRA YILDIZ,ALPER CAN BOZYEL,YUNUS EMRE ALICI,OKAN KAHRAMAN,DİLEK DOĞAN KARACA,ELİF KALENDER,ZEYNEP GÖRÜMLÜ,ÖZGÜR TOPCU,Celal Atik Spor Salonu
27.02.2022,15:00,BBA1568,Playoff Eleme Turu,YENİ SİNCAN,58 - 51,DİBA,,ANKARA,Sinan Şamil Sam Spor Salonu,,BURAK KAAN TAN,DERYA ÇELİK,SAFA HALİT ÇAKIR,BÜLENT TANESEN,SERCAN YILDIRIM,MELTEM KOLÇAK,DOĞUKAN TOPRAK,YENER SALMAN,Sinan Şamil Sam Spor Salonu
27.02.2022,15:00,BBA1569,Playoff Eleme Turu,BURHANİYE BELEDİYESPOR,80 - 53,KALAMIŞ KALKEDON,,BALIKESİR,Burhaniye Spor Salonu,,ELİF İNCİ,NUR AKÇA,MUSTAFA TOPALOĞLU,SEYİT AHMET BECAN,ERCAN ÇAVUŞOĞLU,MERT TELLİBAYRAKTAR,GÜRBÜZ KOÇOĞLU,METİN IŞIK,Burhaniye Spor Salonu
27.02.2022,16:00,BBA1570,Playoff Eleme Turu,KASTAMONU İSTİKLAL YOLU,77 - 84,ÇERKEZKÖY BELEDİYESİ,,KASTAMONU,Hüsnü Tandoğan Spor Salonu,,SÜLEYMAN EREN PEKDOĞAN,KAMİL ALOK,SONER TÜRKER,UĞUR ERHAN DEDEŞAH,SEZER ÇALIŞGAN,İRFAN KÜTÜKOĞLU,ERCAN ÇİÇEK,ŞENOL KARABALTAOĞLU,Hüsnü Tandoğan Spor Salonu
27.02.2022,16:00,BBA1567,Playoff Eleme Turu,ELAZIĞ BASKETBOL,74 - 67,GİRESUN BELEDİYE,,ELAZIĞ,Elazığ İl Özel İdare S.S.,,ÖZKAN ÇAĞLAYAN,AYGÜN AKGÜL,MAHSUN ALANKO,YAŞAR ARIĞTEKİN,AYŞE GÜNHAN,DİDEM YAVUZ SÖYLER,HAYRULLAH IŞIK,TUNCAY DAĞDELEN,Elazığ İl Özel İdare S.S.
19.11.2021,13:00,BBA1449,01,YENİ SİNCAN,57 - 71,KASTAMONU İSTİKLAL YOLU,B,ANKARA,Sinan Şamil Sam Spor Salonu,,YUSUF SARPER DAĞLI,MUSTAFA AKSOY,MEHMET BOZKURT,HASAN GÜNGÖR,SAMET CAN ALICI,VEYSEL SİNAN TUNCER,AHMET BUĞRAHAN TÜRKER,MURATCAN KOLÇAK,Sinan Şamil Sam Spor Salonu
19.11.2021,14:00,BBA1452,01,BURSA AYYILDIZ,68 - 73,KALAMIŞ KALKEDON,D,BURSA,Yıldırım Şahin Başol Spor Kompleksi,,MUSTAFA ÇELTİKER,ÜNAL GÜNDOĞDU,ATAKAN KOLCU,GÜNAY YAYLI,AYÇA ÜNLÜ,ADEM ÇATALKAŞ,TAHSİN TİRYAKİ,ESRA AL,Yıldırım Şahin Başol Spor Kompleksi
20.11.2021,14:00,BBA1451,01,ISKUDER,67 - 52,MUĞLA KARYA,C,ISPARTA,6 Mart Spor Salonu,,SEDEF YARICI,HAKAN YİĞİT,GÖKHAN EĞLENOĞLU,MUSTAFA BİÇER,SEHER YÜRÜK,BURAK TATOĞLU,ÖZKAN ALTINÖRS,,6 Mart Spor Salonu
20.11.2021,15:00,BBA1457,01,GİRESUN BELEDİYE,61 - 49,BAŞKENT KARTALLARI,A,GİRESUN,19 Eylül S.S.,,ALPER TACETTİN,METİN SARIOĞLU,HAMZA ÇALIŞKAN,ZELİHA BAYRAKTAR,ÖZLEM ÖZKANLI BIÇAKCI,GÖRKEM UZUNALİOĞLU,MİHRİBAN ÇİĞDEM,,19 Eylül S.S.
