Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
8.10.2022,13:30,1BA2779,01,ANTALYA TOROSLAR BASKETBOL,49 - 78,GALATASARAY ÇAĞDAŞ FAKTORING,,ANTALYA,Kepez Turgut Özal Spor Salonu,Youtube / TBF TV,ALPER ALTUĞ KÖSELERLİ,ANIL VEZİROĞLU,ALİ OSMAN KANIK,MERT ELMA,TANSU BOZOK,KEZİBAN KARTCA,SEZEN AKSU,SEVCAN CELİL,Kepez Turgut Özal Spor Salonu
8.10.2022,14:00,1BA2774,01,BOTAŞ,89 - 79,OGM ORMANSPOR,,ANKARA,Ankara Spor Salonu,Youtube / TBF TV,ZİYA ÖZORHON,EYYÜP AYHAN,UMUT MEMİŞ,DERYA ANTAŞ,FATMA ÇELİK,AKIN AYTEKİN,MERT YILMAZ,İSMAİL FULSER,Ankara Spor Salonu
8.10.2022,15:00,1BA2778,01,NESİBE AYDIN,83 - 81,ÇANKAYA ÜNİVERSİTESİ,,ANKARA,TOBB ETÜ Spor Salonu ,Youtube / TBF TV,FATİH GÜLER,SAMET BİNER,METEHAN ALAÇAM,MÜBERRA ÖZTÜRK,SİMAY ÇAKMAK,ALİ MURAT SUNGUR,ANIL ENDER DURGUN,FUNDA KONCA,TOBB ETÜ Spor Salonu
8.10.2022,16:00,1BA2775,01,EMLAK KONUT,87 - 58,RİZE BELEDİYESİ,,İSTANBUL,Başakşehir Spor Kompleksi,"Youtube / TBF TV,SPORTSTV",BURAK YILMAZ,BENHÜR İRCEL,SEZER BOR,EMİN FAZIL KESERATAR,MEHMET KAPUCU,MELDA ÇAKIRCA,MURAT SÜMER,EMRE CAN ÇAKIR,Başakşehir Spor Kompleksi
9.10.2022,13:00,1BA2776,01,BURSA ULUDAĞ BASKETBOL,62 - 75,TUFAN METALURJİ HATAY BÜYÜKŞEHİR BELEDİYESPOR,,BURSA,Tofaş Spor Salonu,Youtube / TBF TV,SİNEM TETİK AKBAYRAK,BURAK DURMUŞ,SELENA GAMZE ÖGET ÇERÇİ,EBRU ÖZTAŞKIRAN,AYÇA ÜNLÜ,SEVDA USTA,ESRA SOLAK,TEOMAN ÖYLEK,Tofaş Spor Salonu
9.10.2022,15:00,1BA2777,01,MELİKGAZİ KAYSERİ BASKETBOL,71 - 69,BEŞİKTAŞ,,KAYSERİ,Kadir Has Kongre Merkezi Spor Salonu,Youtube / TBF TV,ALİ ŞAKACI,DOĞU BERK İNNAL,ALMİNA KOCABAŞ,ABDULLAH ÖZSUVEREN,BÜLENT TOSUN,FATMA AŞILI,CEREN SIDIKA DEMİR,SİNEM MUTLU,Kadir Has Kongre Merkezi Spor Salonu
9.10.2022,16:00,1BA2773,01,FENERBAHÇE ALAGÖZ HOLDİNG,71 - 63,ÇBK MERSİN YENİŞEHİR BELEDİYESİ,,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,"Youtube / TBF TV,SPORTSTV",ALİ SERKAN EMLEK,UĞUR ÖZEN,DUHAN KÖYİÇİ,SAVAŞ BAYRAM ERTÜRK,FATMA GÖK,GÖZDE BEGÜM AKÜZÜM,HALİL İBRAHİM ÖZBEK,RAMAZAN KOÇ,Fenerbahçe Metro Enerji Spor Salonu
15.10.2022,13:00,1BA2780,02,ÇANKAYA ÜNİVERSİTESİ,62 - 76,GALATASARAY ÇAĞDAŞ FAKTORING,,ANKARA,Ankara Spor Salonu,"Youtube / TBF TV,SPORTSTV",ORHAN ÇAĞRI HEKİMOĞLU,EYYÜP AYHAN,BURAK AKTAŞ,ERDEM EFE,NAZAN ŞİMŞEK,FATİH DEMİRCİ,FATMA ÇELİK,GÖZDE ÖZBEK,Ankara Spor Salonu
15.10.2022,15:00,1BA2784,02,OGM ORMANSPOR,68 - 77,EMLAK KONUT,,ANKARA,M. Sait Zarifoğlu Spor Salonu,Youtube / TBF TV,ERŞAN KARTAL,SAMET BİNER,HÜSEYİN ÇAMCI,BURAK DEDE,YASEMİN YILDIRIM,VEYSEL SİNAN TUNCER,VOLKAN DARCAN,İSMAİL FULSER,M. Sait Zarifoğlu Spor Salonu
15.10.2022,16:00,1BA2786,02,FENERBAHÇE ALAGÖZ HOLDİNG,83 - 45,ANTALYA TOROSLAR BASKETBOL,,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,"Youtube / TBF TV,SPORTSTV",AHMET TATLICI,DORUKHAN KALYONCU,SAFA HALİT ÇAKIR,HURŞİT CEM AKAN,OSMAN OKUDAN,GÖZDE BEGÜM AKÜZÜM,BÜŞRA ERKAN,MUSTAFA BURAK SİNOPLUOĞLU,Fenerbahçe Metro Enerji Spor Salonu
