Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
11.11.2022,13:00,3EA2199,01,NEF,64 - 66,AYKANAT SPOR,B,İSTANBUL,Küçükçekmece Halkalı Spor Salonu,,MUSTAFA ÇELTİKER,HASAN KAMİL TAKINYALIOĞLU,GÖKHAN EĞLENOĞLU,BEKİR GENÇAL,BİROL ŞİMŞEK,ESİN MÜEZZİNOĞLU,GÜL URASLI,CEYDA KAPKAÇ,Küçükçekmece Halkalı Spor Salonu
11.11.2022,16:00,3EA2206,01,GEÇİT SPOR,53 - 78,DOĞA KOLEJİ GAZİANTEP GENÇLİK,C,BURSA,Yıldırım Şahin Başol Spor Kompleksi,,BURAK PEHLİVAN,ALİ RIZA PİNAT,MUSA ONUR SAVAŞ,MACİT ZEREN,ŞAFAK IRMAK SARAÇOĞLU,TUĞBA ÖYLEK,GÜLSEREN KAÇIR,FATİH DURGUT,Yıldırım Şahin Başol Spor Kompleksi
11.11.2022,16:00,3EA2207,01,BÜYÜK ANADOLU SPOR,81 - 88,ÜSKÜDAR BELEDİYESİ,C,ANKARA,Sinan Şamil Sam Spor Salonu,Youtube / TBF TV,ÖZKAN ÇAĞLAYAN,GÜNDOĞAN ALİ BALABAN,FATİH OĞUZHAN,FİLİZ ÖGET,ASLI DİNÇEL,VEYSEL SİNAN TUNCER,YASEMİN YILDIRIM,SÜLEYMAN YALÇIN TORUNOĞLU,Sinan Şamil Sam Spor Salonu
11.11.2022,19:00,3EA2196,01,RINO SERAMİK PORSELEN,70 - 93,ETİMESGUT BELEDİYESİ,A,ANKARA,Sinan Şamil Sam Spor Salonu,Youtube / TBF TV,SALİH SERKAN KOÇAK,BURAK KAAN TAN,TAYLAN KAYA,LEVENT KANTAR,VOLKAN DARCAN,SİNA KÜÇÜKDİLEK,SAMET CAN ALICI,SERCAN YILDIRIM,Sinan Şamil Sam Spor Salonu
12.11.2022,13:00,3EA2203,01,SEMT77 YALOVA ACARSPOR,63 - 78,ÇAYIROVA BELEDİYESİ,C,YALOVA,90. Yıl Spor Salonu,Youtube / TBF TV,MUSTAFA TOPALOĞLU,HÜSEYİN SÖYLEMEZOĞLU,SÜLEYMAN ÇAĞRI NAKİLCİOĞLU,HAKAN AK,ZELİHA DEMİR,AYNUR SAĞINDIK,NURSEVİL AKYOL,GÜLEN SÖNMEZ,90. Yıl Spor Salonu
12.11.2022,14:00,3EA2211,01,ADANA SERTAŞ SPOR,70 - 90,ESENLER EROKSPOR,D,ADANA,Menderes Spor Salonu,,BATUHAN KÜMÜKOĞLU,EMRE YELDAŞ,MAHSUN ALANKO,YUSUF BÜYÜKFİDAN,GÜVEN AYDOĞAN,MEHTAP TOSUN,DENİZ ORGÜN,CUMALİ TOSUN,Menderes Spor Salonu
12.11.2022,15:00,3EA2209,01,BEYLİKDÜZÜ BASKETBOL,68 - 54,FRUTTİ EXTRA BURSA,D,İSTANBUL,Beylikdüzü Spor Salonu,,FATİH ERDOĞAN,DERYA ÇELİK,KADİR GİRAY ESEN,METİN AÇIKALIN,MELDA ÇAKIRCA,SEMRA AKDUMAN,BİROL ŞİMŞEK,EMRECAN ÇAKIRCA,Beylikdüzü Spor Salonu
12.11.2022,15:00,3EA2195,01,KAPAKLI SPOR,70 - 62,İSTANBUL EFENDİLERİ,A,TEKİRDAĞ,Çorlu Spor Salonu,,HAVVA MİRHAN ATEŞER,NURİ DİLMEN,TEOMAN ALTAR AKIN,YAŞAR SİNAN ÇELİKOĞLU,DERYA GÜLBAHAR,ÖZLEM DELİCE,ŞULE AYLANÇ,AHMET ERSÖZ,Çorlu Spor Salonu
12.11.2022,16:00,3EA2197,01,KARAMÜRSEL GSK,80 - 78,AKHİSAR BELEDİYE BASKETBOL,A,KOCAELİ,Karamürsel ATATÜRK Spor Salonu,,MURAT AMAÇ,SAMET FIRAT SAVAŞ,EREN AKPULAT,NAİM ÖZYEŞİLPINAR,ERDEM ERGÜN,SUDENUR DUMAN,BERFU BARUT,ALİ AYBERK SAN,Karamürsel ATATÜRK Spor Salonu
12.11.2022,16:00,3EA2202,01,KARŞIYAKA BELEDİYESPOR,66 - 57,KONYA BÜYÜKŞEHİR BELEDİYESPOR,B,İZMİR,Karşıyaka Belediyesi 1912 Zühtü Işıl Spor Salonu,,İZEL DENİZ PEHLİVAN ÇAKICI,ESRA YILDIZ,ALPER CAN BOZYEL,MURAT MISIRLI,EMİNE KALKAN,MESUT KARABULUT,ALEYNA ÇETİN,SİNEM BİRTÜRK,Karşıyaka Belediyesi 1912 Zühtü Işıl Spor Salonu
