Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
17.10.2020,14:30,2EA3891,01,FİNAL SPOR,73 - 59,MANİSA BÜYÜKŞEHİR BELEDİYE SPOR,,BURSA,Naim Süleymanoğlu Spor Kompleksi,Youtube / TBF TV,ÖNDER YILMAZ,KEREM YILMAZ,ALPER ELÇİKOCA,EBRU ÖZTAŞKIRAN,SABRİYE ERKAPLAN,CEREN YAVUZ,ESRA AL,SUELNUR ÇELİK,Naim Süleymanoğlu Spor Kompleksi
17.10.2020,16:00,2EA3893,01,BALIKESİR BÜYÜKŞEHİR BELEDİYESPOR,90 - 89,KOCAELİ BŞB KAĞITSPOR,,BALIKESİR,Kurtdereli Spor Salonu,Youtube / TBF TV,AYDIN KARAÇAM,MEHMET ONUR SÖNMEZ,ALİCAN ALICI,MURAT KARTAL,GAMZE ATİLA,MERT TELLİBAYRAKTAR,METİN IŞIK,IŞIL ÖZKAN,Kurtdereli Spor Salonu
17.10.2020,17:00,2EA3892,01,SAMSUNSPOR,75 - 81,BORNOVA BELEDİYESPOR,,SAMSUN,Mustafa Dağıstanlı Spor Salonu,Youtube / TBF TV,ABDULLAH KOPUTAN,TOLGA EDİS,HANDE ÖZTÜRK,SEMİH KAYA,ESRA BAYZAT,MERVE SERDAR,HAKAN ÖNEN,MURAT ŞENDERE,Mustafa Dağıstanlı Spor Salonu
17.10.2020,17:00,2EA3886,01,SİGORTAM.NET,91 - 75,ANKARA ANADOLU BASKET,,İSTANBUL,Ahmet Cömert Spor Salonu,Youtube / TBF TV,TURGUT IŞIK,AHMET TANER İBİN,NİHAT ÇETİN,SAVAŞ BAYRAM ERTÜRK,AYGÜN SEVGİL,ALİ MALÇOK,MERT İĞDELİ,EROL TAHTAKESEN,Ahmet Cömert Spor Salonu
17.10.2020,17:00,2EA3887,01,BUDO GEMLİK,81 - 72,SEMT77 YALOVASPOR,,BURSA,Gemlik Spor Salonu,Youtube / TBF TV,FATİH GÜLER,OZAN GÖNEN,UYGAR KURT,MUSTAFA DURGUT,ÇİGDEM AKYILDIZ,ADEM ÇATALKAŞ,TEOMAN ÖYLEK,TARIK KEMAL ÜNLÜ,Gemlik Spor Salonu
18.10.2020,16:00,2EA3890,01,NADİR GOLD İSTANBUL BASKET,61 - 72,BÜYÜKŞEHİR HASTANESİ KONYASPOR BASKETBOL,,İSTANBUL,Ahmet Cömert Spor Salonu,Youtube / TBF TV,İBRAHİM ALTINTAŞ,SERTAN KIRKLAR,ABDULLAH İLİK,ÖMER KESKİN,TUĞÇE KAYA,ESİN MÜEZZİNOĞLU,TUTKU MELİS AYGÜN,DERYA ÖZTÜRK,Ahmet Cömert Spor Salonu
11.11.2020,16:00,2EA3888,01,MAMAK BELEDİYESİ,66 - 70,MERKEZEFENDİ BELEDİYESİ DENİZLİ BASKET,,ANKARA,Mamak Belediyesi Spor Salonu,Youtube / TBF TV,TEKİN ÖZÜBİR,NİHAT ÇETİN,CEMİL UYGÜL,HALDUN KUNT,FATMA ÇELİK,ARDA GÜRBÜZ,SERDAR KARAGÜÇ,ELİF CAN,Mamak Belediyesi Spor Salonu
11.11.2020,17:00,2EA3889,01,GLOBAL CONNECT TRAVEL DÜZCE,79 - 92,AKHİSAR BELEDİYE BASKETBOL,,DÜZCE,Kalıcı Konutlar Merkez Spor Salonu,Youtube / TBF TV,İBRAHİM ALTINTAŞ,UMUT ÖZGÜN ERGÜN,SAMET ERDOĞAN,UĞUR ERHAN DEDEŞAH,ONUR OROÇ,MERTCAN AKGÜL,UFUK DOĞANAY,GÜLNİHAL ERDEM,Kalıcı Konutlar Merkez Spor Salonu
23.10.2020,19:00,2EA3895,02,MERKEZEFENDİ BELEDİYESİ DENİZLİ BASKET,85 - 86,BUDO GEMLİK,,DENİZLİ,Pamukkale Üniversitesi Spor Salonu,Youtube / TBF TV,TURGUT IŞIK,MEHMET ONUR SÖNMEZ,ALPER ELÇİKOCA,EMRE BAŞA,TUĞBA KALEM,ZEHRA NUR TÜRK,ÖZLEM IŞIK İNAN,SEHER GEZER,Pamukkale Üniversitesi Spor Salonu
23.10.2020,19:00,2EA3901,02,ANKARA ANADOLU BASKET,81 - 62,BALIKESİR BÜYÜKŞEHİR BELEDİYESPOR,,ANKARA,TOBB ETÜ Spor Salonu,Youtube / TBF TV,YÜCEL ÇİLİNGİR,AHMET KEMAL DİGİLLİ,ABDULLAH İLİK,NİYAZİ ALİŞAN,SİMAY ÇAKMAK,FATİH ŞEN,ARDA GÜRBÜZ,SİNA KÜÇÜKDİLEK,TOBB ETÜ Spor Salonu
