Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
6.10.2017,14:00,2BA2550,01,ÇANKAYA ÜNİVERSİTESİ,81 - 65,FERKO ILGAZ HOTEL KBSK,,ANKARA,Arı Koleji Olimpik Spor Salonu,,METİN AKSOYAK,SALİH ARDA UNUL,SERAY AK,,GÜL DENİZ ASİLDAĞ,HİKMET NİSA YILDIZ,FATİH ŞEN,SERVET TUĞRUL DEMİREL,Arı Koleji Olimpik Spor Salonu
7.10.2017,15:00,2BA2552,01,EDREMİT BLD. GÜRESPOR,61 - 86,KIRÇİÇEĞİ BODRUM BASKETBOL,,BALIKESİR,Edremit Spor Salonu,,ELİF İNCİ,ÖZKAN TALO,ÖMER SARI,,EYLEM KAYA,MERT TELLİBAYRAKTAR,OGÜN KURTULUŞ,ERCAN ÇAVUŞOĞLU,Edremit Spor Salonu
7.10.2017,16:00,2BA2553,01,ELAZIĞ İL ÖZEL İDARE,52 - 66,İSTANBULGÜCÜ,,ELAZIĞ,Elazığ İl Özel İdare S.S.,,EBUBEKİR KILIÇ,EYYÜP AYHAN,SEREN ÇEŞİT,,TUNA GÜZEL,SEMANUR BOZKURT,FATMA SELCEN HATİPOĞLU,AYŞE GÜNHAN,Elazığ İl Özel İdare S.S.
7.10.2017,17:00,2BA2546,01,İZMİT BELEDİYESPOR,88 - 67,YALOVA VİP,,KOCAELİ,Kocaeli Atatürk Spor Salonu,,BATUHAN MERT GÜL,CİHAN CEYLAN,MURAT YURTSEVER,,BEYZA NUR ALTUN,MAHMUT CAYLAN,,,Kocaeli Atatürk Spor Salonu
8.10.2017,14:00,2BA2551,01,BURSA BŞB. BUDO,85 - 59,MERSİN ÜNİVERSİTESİ,,BURSA,Yıldırım Şahin Başol Spor Kompleksi,,SEDEF YARICI,MUSTAFA ÇELTİKER,YUSUF SARPER DAĞLI,,YASEMİN AKTAN,TUĞBA ÖYLEK,HASAN YILDIZ,ABDULLAH KURT,Yıldırım Şahin Başol Spor Kompleksi
8.10.2017,14:00,2BA2547,01,URLA BELEDİYESİ,64 - 62,MERSİN BŞB.GELİŞİM,,İZMİR,12 Eylül Spor Salonu,,HAKAN GEREY,ECE AKMAN,BATUHAN SÖYLEMEZOĞLU,,,,,,12 Eylül Spor Salonu
8.10.2017,14:00,2BA2554,01,MERSİN BASKETBOL,80 - 59,BAYRAKLI BELEDİYESİ,,MERSİN,Servet Tazegül Spor Salonu,,TANER ŞEKER,ABDULLAH UYANIK,NECMETTİN ULUÖZLÜ,,MERVE AKICI,SADIK ŞAHİN,FİKRET KARAYAĞMURLU,HATİCE GÜLER,Servet Tazegül Spor Salonu
13.10.2017,13:00,2BA2557,02,İSTANBULGÜCÜ,52 - 70,EDREMİT BLD. GÜRESPOR,,İSTANBUL,Caferağa Spor Salonu,,NİHAT KARA,HAKAN GEREY,ÜLVİYE ÖMÜR BEŞE,,KEREM SIRMAGİL,EBRU ULUDOĞAN,ESER FIRIL,NEŞE KIRAN,Caferağa Spor Salonu
13.10.2017,17:00,2BA2559,02,MERSİN ÜNİVERSİTESİ,42 - 52,ÇANKAYA ÜNİVERSİTESİ,,MERSİN,Mersin Üniversitesi Spor Salonu,,TANER ŞEKER,EYYÜP AYHAN,NECMETTİN ULUÖZLÜ,,FATMA ITIR ÖNCEL,FİKRET KARAYAĞMURLU,ŞÜKRÜ SITKI,MERVE AKICI,Mersin Üniversitesi Spor Salonu
13.10.2017,18:00,2BA2556,02,BAYRAKLI BELEDİYESİ,71 - 80,ELAZIĞ İL ÖZEL İDARE,,İZMİR,Bayraklı Mustafa Kemal Atatürk Spor Salonu,,ELİF İNCİ,MURAT GENÇ,BATUHAN MERT GÜL,,,,,,Bayraklı Mustafa Kemal Atatürk Spor Salonu
14.10.2017,15:00,2BA2558,02,KIRÇİÇEĞİ BODRUM BASKETBOL,75 - 67,BURSA BŞB. BUDO,,MUĞLA,Bodrum Binnaz Karakaya Spor Salonu,,AHMET BİLAL ÖZTÜRK,SERAY AK,MURAT YURTSEVER,,SEVGİ ÖZKAN,NEVİN YAVAŞ ERTUĞRUL,DUYGU ÇİMEN,MİNE ALPASLAN,Bodrum Binnaz Karakaya Spor Salonu
